build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Frost,Orc,Horde,680.6701311853706,29.159838177431322,0.41238238627128126,5000,0.19685,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,050005001-03-0555003321001301251
Frost,Troll,Horde,681.6600086261449,28.997731651258373,0.41008985379265156,5000,0.1477463638344001,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,050005001-03-0555003321001301251
Frost,Undead,Horde,685.3537936911184,29.162112657824128,0.41241455228146984,5000,0.1403,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,050005001-03-0555003321001301251
Retribution,Undead,Horde,1137.5240611753059,42.836882794127014,0.6058050061724111,5000,0.061292475846800025,8.1,8.1,16,16,linear-v1,81,505,1.4210854715202004e-14,253003-232-052052310012330301
Shadow,Troll,Horde,804.2844812680411,16.273242556032812,0.23013840326528615,5000,0,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,479.57142857142856,-1.7763568394002505e-15,305030001303--504020501201302251
Shadow,Undead,Horde,813.9382225077051,16.333651633542125,0.23099271663232732,5000,0,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,479.57142857142856,-1.7763568394002505e-15,305030001303--504020501201302251
Smite,Troll,Horde,562.655367856387,10.557709393972164,0.14930855812549265,5000,2.9999999999999997e-05,-7.9,-7.9,0,0,linear-v1,-79,467.4285714285714,1.7763568394002505e-15,515030031305001031-00505023002-003
Smite,Undead,Horde,566.7466430076879,10.58917312014165,0.14975352240820944,5000,0.0004,-5.9,-5.9,0,0,linear-v1,-59,471.4285714285714,-2.6645352591003757e-15,515030031305001031-00505023002-003
Combat,Orc,Horde,606.9449428913764,19.086210077268717,0.2699197714557546,5000,0,7.1,7.1,16,16,linear-v1,71,427,3.552713678800501e-15,005303103012-32003311201515231
Combat,Troll,Horde,604.135271525486,18.943287491276386,0.26789854086095666,5000,0,7.1,7.1,16,16,linear-v1,71,427,3.552713678800501e-15,005303103012-32003311201515231
Combat,Undead,Horde,624.9636953253122,19.883535885089238,0.2811956611662532,5000,0,7.1,7.1,16,16,linear-v1,71,427,3.552713678800501e-15,005303103012-32003311201515231
Combat,Windshaper,Horde,609.5214874652331,19.200400130394257,0.271534662673937,5000,0,7.1,7.1,16,16,linear-v1,71,426,3.552713678800501e-15,005303103012-32003311201515231
Mutilate,Orc,Horde,618.1054236275453,20.221228958930357,0.2859713624157089,5000,0,8.1,8.1,16,16,linear-v1,81,439,-3.552713678800501e-15,0053031035140105-302303202014
Mutilate,Troll,Horde,613.1733608107742,20.0731481251201,0.28387718318068905,5000,0,7.1,7.1,16,16,linear-v1,71,427,3.552713678800501e-15,0053031035140105-302303202014
Mutilate,Undead,Horde,639.7236174082274,21.107408080602983,0.29850382774132195,5000,0,8.1,8.1,16,16,linear-v1,81,436,-7.105427357601002e-15,0053031035140105-302303202014
Mutilate,Windshaper,Horde,620.4238357357888,20.246227475258433,0.28632489482401263,5000,0,7.1,7.1,16,16,linear-v1,71,426,3.552713678800501e-15,0053031035140105-302303202014
Subtlety,Orc,Horde,556.6729847707875,15.139238562728462,0.21410116499412352,5000,0,10.1,10.1,16,16,linear-v1,101,431,-1.4210854715202004e-14,115303101104--5320003310013211501
Subtlety,Troll,Horde,556.7878955893511,15.754653774837383,0.22280445038867505,5000,0,10.1,10.1,16,16,linear-v1,101,427,-7.105427357601002e-15,115303101104--5320003310013211501
Subtlety,Undead,Horde,579.8172137798722,16.509812243579237,0.23348400387103133,5000,0,10.1,10.1,16,16,linear-v1,101,427,-7.105427357601002e-15,115303101104--5320003310013211501
Subtlety,Windshaper,Horde,556.7883429832958,15.85155486339724,0.2241748387251757,5000,0,10.1,10.1,16,16,linear-v1,101,427,-7.105427357601002e-15,115303101104--5320003310013211501
Demonic Pact,Orc,Horde,848.0868738778282,26.984462751921967,0.38161793197119653,5000,0,5.1,5.1,16,16,linear-v1,51,493.99999999999994,-8.881784197001252e-15,011-0005003221220311351-0550005003
Demonic Pact,Troll,Horde,845.4891860531027,26.30157692936397,0.3719604680530583,5000,0,6.1,6.1,16,16,linear-v1,61,491.99999999999994,-5.329070518200751e-15,011-0005003221220311351-0550005003
Demonic Pact,Undead,Horde,853.569087308152,26.51785910827754,0.37501915996025004,5000,0,6.1,6.1,16,16,linear-v1,61,491.99999999999994,-5.329070518200751e-15,011-0005003221220311351-0550005003
Affliction,Orc,Horde,800.5348481946847,32.46875284872829,0.45917750632011617,5000,0.0104,2.0999999999999996,2.0999999999999996,16,16,linear-v1,20.999999999999996,491.99999999999994,-1.7763568394002505e-15,2525000013520105--0550015103
